topic	katarite	episode
diagnosis/hajimari	df01	実は、異変に気付いたときはね、まあ、今から思うとってことなんですよね。そのときは、やっぱり、分からなかったんです。ていうのが、両親も年とっていきますしね、自分自身もね、昔に比べるとだんだんもの忘れが激しくなってね、外出するにも３回も４回もうちを出入りしたりしている自分がいるもんですからね。単純に、両親も、もう年齢的なものかなってそのときは思っていました。ですけれども、今から考えてみますとね、わたし、あの、会社に勤めていたんですけれども、父が、あの、しょっちゅう会社に電話してくるんです。内容はたいしたことがなくて。「元気か、今度、いつ帰ってくるのか」とかね、子どもたちの近況をね、聞く、まあ、そういう内容なんですけれども。やはり、ひんぱんにかかってくるなって。午前中にかかってきて、また、午後にかかってきてね。勤めているもんだから、迷惑だなと思っていたわけなんですね。それで、あまり、ひんぱんにかかってくるから、あの、実家へ戻って会社の電話番号をね、えー、削除したんです、あの、メモに書いてあるもんですから。だけれども、頭の中に記憶していたみたいで、まっ黒に塗りつぶしたにもかかわらず、相変わらず会社に電話がかかってくるんですね。
diagnosis/kensa	df01	検査に行ったときは、妹が連れて行ってくれたんで、あの、どういう状態だったか、ちょっと分からなかったんですけれども。それでもですね、妹は、あとになって、あの、今説明してもですね、あとになって忘れるっていうのは分かっているんですけれども、やっぱり、それ相当の、あの、説明はしておりましたね。うん、こういう感じで、今、あのー、お父さんならお父さん、お母さんならお母さん、あの、脳のね、あの、検査にこういうところの病院へ、あの、今連れて行きたいと思うんだけれどもっていうのはね、あの、説明していたんで、わたしはそれは感心しましたね。もう、言っても分からないし、もう、そのまま連れて行けばいいわって、もう、中にはね、あのー、だまして、うーん、「病院へ行く」って言わないで、「ちょっと、買い物に行こう」っていう感じで連れ出して、実は、そこが病院だったっていうことも、あの、実際に聞いたことあるんですよね。だから、それを、あの、しないでね、理解したのは一瞬だけかもしれないけれども、それってすごく大事なことだと思いますね。それで、何かの拍子に、やっぱり、思い出すことも、あ、病院行ったよねって覚えていることもあったりして、まあ、あの、脳は不思議だなって思うんですけど。やっぱり、あのー、正常な人と接していると同じようにですね、きちっと説明をして、それで、「いい」って、「一緒に行こうね」って、「あ、行くよ」って、そういう過程がすごく大事じゃないかなって思いますね。
diagnosis/kusuri	df01	―― どんなお薬飲んでらっしゃるかご存じですか。ええ、ええ、あの、父は一番初めはねえ、降圧剤、うーん、それと、あの、ちょっと心臓が、どきどきどきどきっとしたときがあって、あの、心臓の薬とですね、それと、まあ、認知症になったときには、認知症の薬をね、飲んでいたんですけど。まず、あの、年齢からくればね、これぐらいの血圧なら、まあ、我慢できるかなっていうことで、自分のほうからね、ドクターにお願いをしてですね。降圧剤は切りました。それで、心臓の薬もね、うーん、いらないなと思ったんですけれども、まあ、それは、飲んでいたんですね。ですけど、今回入院して調べてもらったら、やっぱり、心臓の薬もいらないっていうことで、今現在、認知症の薬と、あと、ちょっと、前立腺に、ちょっと、問題があるもんですから、おしっこが出る薬。これは、やっぱり、どうしても飲まなきゃいけなくて、その二（ふた）種類飲んでいますし。あの、母も一番初めはですね、降圧剤にコレステロールの薬飲んで、あとは何飲んでいたかな、今は、ま、認知症の薬飲んでいるんですけれども。あの、降圧剤も二（ふた）種類ほど飲んでいたこともありますしね。で、そういうのも、もう、この年代になったからね、まあ、あの、「先生もういいです」って、「切ってください」ってお願いして、降圧剤それとコレステロールの薬切ってもらって、今、認知症のお薬だけ。これは、やっぱり、何か、必要だなって思っているんで、やっぱり、あの、わたしたちの顔がねえ、分らなくなって生きているよりは、うーん、たまに分からなくなっても、たまに思い出してくれるのが、お互いにうれしいなと思うもんですから。できるだけ、こうと思って、認知症のお薬だけです、今は、ええ。
symptom/type	df01	それで、お医者さんにかかったときに、認知症にもいろんなタイプがあるっていうことを勉強させていただいて。確かにね、父の認知症と母の認知症とは、全然違います、ええ。あの、父は、傍から見るとどこも悪くないように見えます。電話の受け答えはしっかりしているし、あの、そのときそのときの理解力はすごくあるんですよね。政治討論会なんかもね、ちゃんと分かりますし。ただ、５分前のことが、忘れているもんですから、駄目といいますかね。知らない人が見ると、え、この人何も分からないんじゃないかと思って、こう下にしてみる、見たりですね。言葉使いも、このおじいちゃんはもう何も分からないおじいちゃんなんだわっていうことでね、そういう言葉使いされることもあるんですけど、そういうのは、やっぱり、間違いですよね。そのときは、わたしたち以上に、脳はクリアになっていて、すごく理解力はありますからね。ただ、母に関しては、やっぱり理解力そのものが落ちてきてますね。ですから、いろんなタイプがあるんだなっていうこと勉強させていただきました。
symptom/shinpai	df01	それで、お金がやっぱりね、払ったか払わないか分らなくなるんですね。で、あの、例えば新聞屋さんが、集金に来ます。「はーい」って言って父がお金払いますよね。「はあ、ご苦労さんでした」って、戸を閉めて帰って行った。手元に領収書が残る。「何だ、これは」って、「おれ、今、お金払ったんかな」「お父さん、今、払ったんだよ」って「ちゃんと払ってくれたね、ありがとね」って「うん、払ったんか」。また領収書を見る。「何だ、これは」っていうことで。もう、あの、バックの中からね、財布を出したりしまったり、出したりしまったり。それも、結構、早い段階にねえ、いろいろありましたし。さっきの話じゃないけど、おれおれ詐欺も心配なもんですからね。もう、妹たちと話して、最終的には印鑑と通帳をね、預かりましたけれどもね。あと、お見舞金とかきたのはね、できるだけ本人たちに渡すようにしているんですけど。それが袋があるんだけど、中身のお金がないんですよ。もう、さんざん探したんだけど分かんなくて、もう何カ月も経ってから、「え、こんなところにあったの」っていうところにお金がねえ、しまってありましたね。
symptom/shinpai	df01	父が、あの、たばこ吸うもんだから、震える手でたばこ吸うでしょう。来るたびに穴穴なんですよ、穴が増えていくばっかり。それで、年寄りだもんだから皮膚かゆがるでしょう、そういうのもあるもんで、木綿製品を使うようにしているから、まだいいんですけど、あれでね、もっと化学（繊維）のもの使ってるとばあっと広がったりするから。畳の焦げがあったりねえ。それで、自分のうちだけですめばいいけど、若い娘さんたち、そこら辺にたくさんいらっしゃるのにね、もし火事になったらね、責任とれないもんね。それがあるからねえ、やっぱり、離れていると心配だったわ。うーん、で、１回なんか、やっぱりたばこを吸って、あの、父は、水道、流れる水のところにちょっとつけてから捨てるんですよね。自分、水につけたから大丈夫だって頭があるんだけど、それだってね、さっとつけただけじゃね、やっぱり、消えませんもんね。そして、消したつもりでごみ箱に捨てたことがあって。煙出たことがあって、わたしたちたまたまいたんで、分かって、事無きを得たんだけど。ごみ箱からあのまま捨てればね、ちょっと危なかったですよね。で、やっぱり、言っても駄目なのよ、たばこに関しては。ねえ、吸ったのを忘れているから、頻繁に吸うでしょう。で、やっぱり、いらいらするからさらに吸う。うーん、どんどんどんどん本数が増えていくしねえ。「たばこ、吸っている人はねえ、早くに、認知症になる前にやめんならんわねえ」と言いながら、うちの夫もまだ吸っております。言うても聞かんもんで、困っておりますけれども、はい。
resource/hibi	df01	うん、それと、父の場合は、あの、おかげさんで、逆に言うと、５分ほど前にけんかしたことも忘れるわけですよ。ただ、何となくね、○に何かしらんけど、怒られて気分悪いなって思いは残るとは思うんですけど、○にいつ何を言われて怒られたのかっていうこと忘れているわけ。うん、だからね、あの、女優になっているんです、わたし。わたしは、今、女優よって、お父さんに５分前にあんなひどいこと言ったけど、そんなこと言った覚えないわって感じで、ものすごく優しくできるの。「お父さん、大福食べる」とかね。あの、父が喜ぶ話、もう、父は、こういう話をすると喜ぶっていうのは分かっているんですよ。例えば、あの、山菜好きだからね、山菜採りに行ったときの話とか、山菜の料理方法とか、それ忘れるから何回言ってもね「うーん」って喜ぶんですね。で、その話を、もう、飽きもせず繰り返したり、うーん、だから、今、わたしは女優ですっていう感じで。そういうので乗り切っている。
resource/kimeru	df01	うちの実家の父と母も、まだね、デイサービスとショートですから、ま、これからですよね。これからは、わたしたちの顔が分からなくなったときに、また、きょうだい（姉妹）で話しあって、じゃ、どうするかっていうことですよね。ええ、そんときに、どっかお願いするのか、また、自宅でずうっと最後までみるのかっていうこと、またね、話し合いするんですけれども、やっぱり、あの、生活するために働かなきゃいけなくて、どうしても、日々介護できない方も、たくさんいらっしゃいますよね。そういう方たちのために、こう、受け入れ先の窓口がもっと広がっていればなあって思います。はい。
resource/kaigo	df01	それで、あのー、姉妹（きょうだい）3人で、集まって、妹たちも遠くにいたもんですから。あの、5月の連休に集中して帰ってきてもらう。あの、8月のお盆に集中して帰ってきてもらう。そんときは、わたしは、お休みとか。うん、あの、体が、やっぱり、1人に集中しないように。ああ、ちょっと、こう、あの、日程っていいますかね。まあ、簡単に言うと、半年くらいの日程をね、こう組みましたね。それで、忙しい妹は、出張とか入っているからどうしてもこの日は帰れないよとかね、うーん、そういうの、よく変更になるんです。うん、変更にはなるんですけれども、やっぱり、基本的には、あの、そういうサイクルですかね、そういうのを決めて。3人で2人を見るのがやっとなんですよね。で、それも、やっぱり、それぞれの性格があるし、持っている仕事もあるし、時間を3分の1ずつ見るってことは、まず、不可能ですから。自分の、あの、得意分野を生かして、今、介護しているわけなんですよね。ここは、じゃ、あなたね、ここはあなた。じゃ、ここは、あの、介護しながら、もう、例えば、あの、この部落の行事とかありますよね。やっぱり、いざとなったら、近所の方にお世話にならなきゃいけないから、そういうのにも出なきゃいけない。じゃ、そういうのは、あの、わたしが一手に引き受けましょうとか。あの、もう、役割をね、性格によってもう決めてあってやっとなんですよね。
resource/kaigo	df01	それで、最終的には、ありがたいことにね、下の妹2人がですね、あの、自分の職場を変更してまでも、最終的には、あの、自宅に入ってくれたんですね。まあ、自宅に入ってくれたもんですから、さらにですね、妹たちが重い荷物を、あの、しょわせてしまったもんですから。まあ、わたし、どっちかというとですね、もちろん、親のために介護はしているんですけれども、妹たちがね、体を壊すから、それでね、頑張っているんです、はい。あの、若い妹がね、体を壊すとねかわいそうでしょう。親がね、ま、ある程度順番ですからね、順番はね、あのー、変更になるとね、これはね、もう悲劇ですから。まあ、妹たちの体がね、心配なんですよね。それで、まあ、申し訳ありません。意外とね、妹たちのことを思うとね、涙が出てくるんですよね。大丈夫です。ていうことで、頑張っております、はい。あの、何といったって、わたし、長女なもんですからね、あの、やっぱり、責任があります。
