STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TENURE,Job tenure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,EU27,European Union (27 countries),TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,Y_3T4,From 3 to 4 years,A,Annual,2017,,3.43878718132227,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,EU27,European Union (27 countries),TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,Y_3T4,From 3 to 4 years,A,Annual,2016,,3.47015541870713,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,EU27,European Union (27 countries),TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,Y_3T4,From 3 to 4 years,A,Annual,2015,,3.45980605825297,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,EU27,European Union (27 countries),TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,Y_3T4,From 3 to 4 years,A,Annual,2021,,3.44677380744502,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,EU27,European Union (27 countries),TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,Y_3T4,From 3 to 4 years,A,Annual,2020,,3.44594931333872,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,EU27,European Union (27 countries),TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,Y_3T4,From 3 to 4 years,A,Annual,2019,,3.45659146325848,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,HRV,Croatia,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_LT1,Less than 1 month,A,Annual,2017,,0.044,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,HRV,Croatia,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_LT1,Less than 1 month,A,Annual,2016,,0.046,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,HRV,Croatia,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_LT1,Less than 1 month,A,Annual,2015,,0.046,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,HRV,Croatia,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_LT1,Less than 1 month,A,Annual,2023,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,HRV,Croatia,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_LT1,Less than 1 month,A,Annual,2022,,0.049,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,HRV,Croatia,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_LT1,Less than 1 month,A,Annual,2021,,0.044,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,HRV,Croatia,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_LT1,Less than 1 month,A,Annual,2020,,0.04,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,HRV,Croatia,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_LT1,Less than 1 month,A,Annual,2019,,0.044,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,ISL,Iceland,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_LT1,Less than 1 month,A,Annual,2015,,0.045,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,ISL,Iceland,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_LT1,Less than 1 month,A,Annual,2023,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,ISL,Iceland,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_LT1,Less than 1 month,A,Annual,2022,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,ISL,Iceland,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_LT1,Less than 1 month,A,Annual,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,ISL,Iceland,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_LT1,Less than 1 month,A,Annual,2020,,0.047,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,ISL,Iceland,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_LT1,Less than 1 month,A,Annual,2019,,0.047,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,ISL,Iceland,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_LT1,Less than 1 month,A,Annual,2018,,0.046,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,ISL,Iceland,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_LT1,Less than 1 month,A,Annual,2017,,0.046,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,FIN,Finland,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,Y_GE10,10 years or over,A,Annual,2017,,21.021,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,FIN,Finland,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,Y_GE10,10 years or over,A,Annual,2016,,20.846,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,FIN,Finland,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,Y_GE10,10 years or over,A,Annual,2015,,20.841,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,FIN,Finland,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,Y_GE10,10 years or over,A,Annual,2023,,20.594,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,FIN,Finland,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,Y_GE10,10 years or over,A,Annual,2022,,20.428,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,FIN,Finland,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,Y_GE10,10 years or over,A,Annual,2021,,20.115,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,FIN,Finland,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,Y_GE10,10 years or over,A,Annual,2020,,20.296,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,FIN,Finland,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,Y_GE10,10 years or over,A,Annual,2019,,20.73,,A,Normal value,0,Units,1,One
